id,isi_berita,label
1,"Hamza Abdelkarim kagumi Erling Haaland. Striker muda Barcelona itu mau jadi 'Haaland dari Sungai Nil'.
Hamza Abdelkarim adalah striker muda Barcelona asal Mesir, masih berusia 18 tahun. Musim 2026/27 ini, Hamza masuk skuad utama Barca yang sebelumnya main di tim akademi musim lalu.
| Baca juga: Yang Thierry Henry Suka dari Erling Haaland | 
Hamza Abdelkarim mengagumi Erling Haaland. Baginya, Haaland adalah striker top saat ini.
""Haaland adalah penyerang hebat. Dia luar biasa dalam mencetak gol dan selalu berada di posisi yang tepat untuk melakukannya,"" bukanya dilansir dari Tribuna.
""Anda selalu bisa belajar dari para pemain hebat dengan mengamati cara mereka bermain. Dan aku akan senang dijuluki 'Haaland dari Sungai Nil',"" tegasnya.
Hamza Abdelkarim masih mau belajar banyak. Dirinya pun mau perbaiki beberapa aspek agar diberi kepercayaan lebih oleh pelatih Hansi Flick.
""Aku mau mencetak banyak gol dan menangi trofi. Tentu saja ada hal-hal yang perlu aku perbaiki dan aspek-aspek di mana aku masih bisa berkembang. Gaya permainan Barcelona berbeda dari tim mana pun, dan aku sedang dalam proses beradaptasi,"" tutupnya.
(aff/pur)",sport
2,"Kontrak Luke Shaw di Manchester United akan habis pada akhir musim ini. Tiada tanda-tanda, kontraknya akan diperpanjang.
Kontrak Luke Shaw akan habis pada 30 Juni 2027. Shaw sudah memperkuat Manchester United sejak tahun 2014.
| Baca juga: Bintang Muda JJ Gabriel Mau Tinggalkan MU | 
Dilansir dari Mirror, Manchester United diyakini tidak akan memperpanjang kontrak Luke Shaw. MU akan renovasi besar-besaran lini belakang di bursa transfer musim panas 2027 dengan beli bek-bek baru.
Shaw dulu dibeli MU dari Southampton. Ketika itu Shaw ditebus seharga 37 juta Euro, terhitung angka yang besar.
| Baca juga: Start MU Era Carrick dan Amorim Sama, nih | 
Luke Shaw total sudah mengemas 299 penampilan buat Manchester United di seluruh kompetisi. Empat titel diraihnya yakni titel Liga Europa, Piala FA, dan menang dua kali Carabao Cup.
Shaw lebih banyak diganggu cedera. Cedera otot menghantuinya dan pernah alami patah tulang tibia dan fibula pada kaki kanannya di 2015 yang harus absen selama 64 laga.
Pemain berusia 31 tahun itu masih jadi kepercayaan pelatih Michael Carrick. Namun faktor kebugaran, juga selalu jadi batu sandungannya.
(aff/yna)",sport
3,"Erling Haaland bermain bagus di Manchester City dan Timnas Norwegia pada musim lalu. Pemain berusia 26 tahun itu disebut pantas meraih Ballon d'Or.
Bersama Man City musim lalu, Haaland tampil produktif. Dia mampu menyumbang 38 gol dan sembilan assist dalam 52 pertandingan.
Dengan kontribusi itu, Haaland mampu memenangi Piala Liga Inggris dan Piala FA bersama Man City. Catatan itu jelas cukup oke untuk mantan pemain Borussia Dortmund itu.
| Baca juga: Haaland: Buat Apa Sering-sering Pegang Bola? | 
Bersama Norwegia, Haaland mampu menembus perempat final Piala Dunia 2026. Selain itu, Haaland juga bisa mengemas tujuh gol.
Dengan semua modal itu, Haaland diyakini mantan pemain Norwegia, Jan Age Fjortoft, layak memenangi Ballon d'Or.
""Kalian akan bilang saya subjektif karena saya juga orang Norwegia. Tapi bagi saya, hal itu sudah jelas: Erling Haaland harus memenangkan Ballon d'Or,"" kata Jan Age Fjortoft dikutip dari Sportskeeda.
""Dua trofi di Inggris musim lalu, 58 gol untuk klub dan negara, serta menjadi bintang global di Piala Dunia, dan memegang peran besar dalam perjalanan Norwegia hingga babak perempat final,"" kata dia menambahkan.
(cas/pur)",sport
4,"Pengurus Pusat Kickboxing Indonesia (PP KBI) periode 2026-2030 di bawah kepemimpinan Ngatino resmi dilantik di Gedung KONI Pusat, Senayan, Jakarta, Rabu (16/9/2026). Pelantikan tersebut menjadi momentum baru bagi kickboxing Indonesia.
PP KBI menargetkan terbentuknya ekosistem pembinaan yang terintegrasi antara atlet amatir dan profesional untuk meningkatkan prestasi Merah Putih di kancah internasional. Ngatino yang kembali dipercaya memimpin KBI untuk periode ketiga menyebut amanah tersebut sebagai dorongan untuk melakukan evaluasi dan pembenahan organisasi.
""Kepercayaan yang diberikan kepada saya untuk kembali memimpin Kickboxing Indonesia untuk periode ketiga merupakan sebuah kehormatan sekaligus amanah yang sangat besar. Apa yang telah kita lalui selama ini harus menjadi bahan evaluasi untuk melakukan perbaikan dan pembenahan ke depan,"" ujar Ngatino dalam keterangan persnya.
Sebagai langkah awal, PP KBI akan menggelar Kejuaraan Nasional (Kejurnas) pada awal November 2026 sebagai pengganti PON Bela Diri di Solo yang ditunda. Dalam ajang tersebut, KBI juga menyiapkan Gala Night untuk menyaring 10 atlet terbaik.
Sepuluh atlet terpilih akan diarahkan ke jalur profesional. KBI juga berencana kembali menjaring 10 atlet pada 2027 untuk melengkapi pembinaan bersama atlet hasil seleksi 2026.
""Harus ada ekosistem dalam pembinaan antara amatir dan pro harus seiring. Kita sudah siapkan nanti 10 besar amatir hasil kejurnas itu langsung menjadi pro. Ke depannya 2027 kita sudah siapkan untuk pro. Dan kemudian 2027 juga memulai lagi untuk mencari 10 lagi untuk bersama-sama dengan 10 yang ada di 2026 itu untuk kita siapkan menjadi atlet profesional,"" Ngatino menjelaskan.
Selain pembinaan prestasi, KBI mengembangkan KBI Pro sebagai wadah pertandingan profesional sekaligus membuka peluang bagi atlet mendapatkan penghasilan dari prestasi mereka. KBI juga tengah menyiapkan kerja sama dengan platform streaming Vidio untuk memperluas jangkauan pertandingan hingga mancanegara dan menarik sponsor.
Rencana tersebut mendapat dukungan KONI Pusat. Ketua Umum KONI Pusat, Marciano Norman, meminta KBI melakukan evaluasi terhadap program sebelumnya dan memastikan pembinaan atlet berjalan secara bertahap dari level amatir menuju profesional.
""Persiapkan atlet-atlet yang masuk ke profesional itu adalah juara-juara di amatir. Sehingga mereka yang sudah jam terbangnya tinggi di kompetisi amatir bisa masuk ke profesional,"" kata Marciano.
Marciano juga mengapresiasi kiprah kickboxing yang telah berkontribusi dalam perolehan medali Indonesia di SEA Games serta mencatatkan hasil positif pada kejuaraan di Tashkent.
Sementara itu, Sekjen KONI Pusat TB Ade Lukman optimistis KBI dapat menjadi salah satu penyumbang medali emas Indonesia di ajang internasional. Menurutnya, cabang olahraga bela diri selama ini menjadi salah satu pilar penting dalam perolehan medali Indonesia pada multi-event seperti SEA Games.
""Kita yakin di bawah kepemimpinan Ketua Umum Pak Ngatino beserta jajaran juga akan menjadi bagian daripada kontributor medali-medali emas di event-event internasional,"" pungkasnya.
(ran/nds)",sport
5,"Lina Hisage, atlet tolak peluru asal Wamena, Papua Pegunungan, mulai menunjukkan perkembangan signifikan sejak bergabung dengan Papua Athletics Center (PAC) pada Januari 2024. Dalam kurun waktu kurang dari dua tahun, atlet berusia 18 tahun itu mampu meningkatkan catatan lemparannya hingga meraih juara sekaligus memecahkan rekor nasional.
Lina mencatat prestasi di ajang ASEAN School Games. Pada 2024, dia meraih juara ketiga dengan tolakan sejauh 12,7 meter. Setahun kemudian, prestasinya meningkat dengan meraih juara pertama setelah mencatat tolakan 14,72 meter pada ASEAN School Games 2025 di Brunei Darussalam.
Catatan tersebut sekaligus menjadi bagian dari perjalanan Lina dalam memecahkan rekor yang sebelumnya dia buat sendiri. Rekor pertamanya tercipta dalam ajang invitasi atletik di Jakarta pada 2025 dengan tolakan 13,3 meter. Catatan itu kemudian kembali diperbaiki menjadi 14,72 meter saat berlaga di Brunei.
""Yang 2024 itu juara 3, 12,7 meter. Kalau yang 2025 ini juara 1, 14,72 meter,"" kata Lina di Mimika Sport Complex, Rabu (16/9/2026).
Perkembangan tersebut tidak lepas dari rutinitas latihan yang dijalaninya setiap hari. Karena tetap harus mengikuti kegiatan sekolah, Lina biasanya menjalani latihan pada sore hari.
| Foto: Moch Prima Fauzi/detikcom | 
Materi latihan yang dijalaninya meliputi rotasi, penguatan, hingga latihan kecepatan. Rutinitas tersebut dijalani hampir setiap hari sebagai bagian dari persiapannya menghadapi berbagai kejuaraan.
Di tengah rutinitas itu, Lina mengaku pernah mengalami kejenuhan. Untuk mengatasinya, dia biasanya menghabiskan waktu bersama teman-temannya di asrama, seperti berjalan-jalan atau sekadar berkumpul.
""Kalau jenuh biasanya duduk di tempat teman atau jalan-jalan, beli sesuatu, cerita bareng-bareng,"" ujarnya.
Bagi Lina, dukungan keluarga menjadi salah satu alasan untuk terus meningkatkan performa. Dia selalu mengingat perjuangan orang tuanya yang selama ini mendukung perjalanannya sebagai atlet.
""Hasilnya saya selalu ingat orang tua saya karena mereka yang sudah berusaha untuk saya. Mereka juga selalu mendukung saya. Itu motivasi saya,"" tutur Lina.
Menjadi atlet tolak peluru juga bukan sekadar aktivitas yang dijalani Lina. Dia menyebut atlet tolak peluru adalah cita-citanya. Salah satu sosok yang menjadi inspirasinya adalah atlet tolak peluru putri Amerika Serikat, yang saat ini memegang rekor dunia.
Selama menjalani pembinaan di PAC, Lina juga mendapatkan dukungan fasilitas latihan yang menurutnya telah memenuhi kebutuhan atlet.
""Fasilitas sangat bagus dan sangat memadai karena semua peralatan yang kita butuhkan semua ada di sini,"" katanya.
Program Latihan Terukur
Pelatih tolak peluru PAC, Yeremias Kiriwaib mengatakan perkembangan Lina merupakan hasil dari program latihan yang disusun secara terukur. Materi latihan tidak dibuat secara sembarangan, melainkan melalui evaluasi dan koordinasi dengan tim teknis.
""Materi sehari-hari yang dikasih kami dapatkan dari hasil bongkar pasang dan juga koordinasi dengan tim teknis. Kami punya tim teknis khusus dari PB PASI, sehingga materi dan program latihan yang kami berikan secara harian terukur dan bisa dipertanggungjawabkan progresnya ke depan,"" kata Yeremias.
Lina sebelumnya merupakan jebolan PPLP (Pusat Pendidikan dan Latihan Olahraga Pelajar Papua) di Jayapura. Potensinya kemudian membuat Lina dipanggil untuk bergabung dengan PAC pada awal 2024.
Menurut Yeremias, kemampuan Lina berkembang karena mampu menyerap program latihan yang diberikan. Selain memiliki potensi, karakter Lina yang dinilai baik juga membantu proses pembinaan.
| Foto: Moch Prima Fauzi/detikcom | 
""Lina jebolan dari PPLP Jayapura di bawah asuhan Coach Tyo, karena mempunyai potensi dipanggil dan bergabung di sini di awal 2024. Kemudian saya latih, syukur anaknya punya karakter yang baik sehingga program yang kami susun dalam tim bisa dia serap dengan baik,"" ujarnya.
Hasilnya terlihat dari catatan yang terus meningkat. Setelah memecahkan rekor pada ajang invitasi di Jakarta, Lina kembali memperbaiki catatannya saat tampil di ASEAN School Games di Brunei.
Ke depan, Yeremias menargetkan Lina dan atlet lainnya, Elis, dapat terus memperbaiki catatan terbaik masing-masing. Khusus Lina, targetnya adalah kembali meningkatkan personal best pada nomor tolak peluru.
""Untuk Lina dan Elis memang ada target-target tertentu untuk kejuaraan dalam waktu dekat ini. Paling tidak mereka bisa memecahkan personal best mereka masing-masing,"" katanya.
Untuk mencapai target tersebut, latihan dilakukan dengan berbagai variasi. Sesi latihan dimulai dengan pemanasan dan aktivasi yang berkaitan dengan pendukung teknik sebelum atlet masuk ke latihan teknik inti.
Setelah latihan teknik, atlet kembali menjalani latihan beban yang kemudian dilanjutkan dengan penggunaan medicine ball. Mereka juga mendapatkan latihan penguatan otot inti yang mencakup bagian perut, pinggang, dan punggung.
""Jadi itu semua dilakukan tiap hari,"" kata Yeremias.
Selain menjaga aspek fisik dan teknik, pelatih juga memperhatikan kondisi psikologis atlet selama menjalani rutinitas latihan. Yeremias mengatakan atlet diberikan ruang untuk beristirahat dan melakukan aktivitas lain ketika mulai mengalami kejenuhan.
Menurut dia, aktivitas di luar latihan seperti berjalan-jalan, nongkrong, atau menonton film dapat membantu atlet mengurangi kebosanan sebelum kembali menjalani program latihan.
""Saya tidak mengekang mereka. Apabila saya lihat mereka sudah jenuh, saya arahkan, ayo nongkrong di situ. Atau ayo bioskop. Syukurnya mereka mengerti sehingga bisa mengurai kebosanan mereka di tengah-tengah sesi latihan,"" ujarnya.
(anl/ega)",sport
6,"Ini 5 Klub yang Pernah Lumat Ronaldo 0-4 Afif Farhan - detikSepakbola Rabu, 16 Sep 2026 22:00 WIB ... Tautan telah disalin Al Ain menang 4-0 atas Al Nassr di AFC Champions League matchday pertama, Selasa (15/9) (Anadolu via Getty Images/Anadolu) Setelah lima tahun lamanya, Cristiano Ronaldo rasakan lagi kekalahan dengan margin empat gol (AFP/FAYEZ NURELDINE) Pertama kali Ronaldo rasakan kekalahan 0-4 adalah di LaLiga pada 2015. Real Madrid saat itu kalah 0-4 dari Barcelona (David Ramos/Getty Images) Di tahun yang sama, Real Madrid kalah dari tim sekota, Atletico Madrid 0-4 (Getty Images Sport/Gonzalo Arroyo Moreno) Di tahun 2022, Ronaldo rasakan kekalahan 0-4 dalam semusim di Liga Inggris saat memperkuat Man United di periode keduanya (Getty Images/Michael Regan) MU kalah dari Brentford dan Brighton sama-sama di tandang 0-4 (AP/Ian Walton) previous next previous next Jakarta - Al Ain jadi klub kelima yang pernah lumat klubnya Cristiano Ronaldo 0-4. Bisa tebak siapa empat klub lainnya? ... Tautan telah disalin cristiano ronaldo al ain barcelona Lihat lebih banyak",sport
7,"Persib Bandung memuncaki klasemen Grup E AFC Champions League (ACL) Two 2026/2027. Sukses diraih usai pasukan Igor Tolic menang dan rival terpeleset.
Persib mengawali kiprahnya di ACL Two dengan bertandang ke markas FC Seoul. Juara Super League itu menang 1-0 di Korea, Rabu (16/9).
Gol tunggal Julio Cesar sudah cukup memastikan kemenangan Persib. Hasil itu bikin Adam Alis Cs mengemas tiga poin pertamanya.
Persib akhirnya memastikan memimpin Grup E, usai pesaingnya terpeleset. The Cong Viettel vs Melbourne Victory tuntas 1-1 di Hanoi.
Hasil itu bikin Persib Bandung memimpin dengan 3 poin, disusul Melbourne Victory dan Viettel dengan 1 poin, dan FC Seoul di posisi juru kunci dengan nirpoin.
Selanjutnya, Persib akan menjamu Viettel di Gelora Bandung Lautan Api, pada matchday kedua, 14 Oktober mendatang. Kemenangan akan mendekatkan Pangeran Biru ke babak 16 besar.
Klasemen Grup E ACL Two 2026/2027
| No | Tim | Main | Menang | Imbang | Kalah | Gol | Kebobolan | Selisih Gol | Poin | 
| 1 | Persib Bandung | 1 | 1 | 0 | 0 | 1 | 0 | +1 | 3 | 
| 2 | Melbourne Victory | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
| 3 | The Chong Viettel | 1 | 0 | 1 | 0 | 1 | 1 | 0 | 1 | 
| 4 | FC Seoul | 1 | 0 | 0 | 1 | 0 | 1 | -1 | 0 | 
(yna/aff)",sport
8,"Performa apik Anthony Gordon terbantu oleh para gelandang Barcelona. Gordon memuji Pedri mampu dengan baik membawa El Barca mendominasi laga.
Anthony Gordon baru didatangkan Barcelona musim panas ini dari Newcastle United. Pemain asal Inggris ini ditebus El Barca dengan nilai transfer 80 juta euro.
Gordon tak butuh waktu lama untuk langsung unjuk gigi di Barcelona. Ia telah mengemas lima assist di lima laga awal LaLiga di musim ini.
Torehan tersebut membantu Barcelona meraih hasil sempurna di lima laga tersebut. El Barca saat ini berada di puncak klasemen LaLiga dengan 15 poin.
| Baca juga: Waktunya Rotasi Pemain, Barcelona? | 
Anthony Gordon mengungkap performa apiknya tersebut terbantu oleh lini tengah Barcelona yang berkualitas. Ia kagum dengan penampilan lini tengah Blaugrana yang mampu dengan baik mendominasi laga.
Gordon memuji Pedri yang mampu dengan baik menjalankan dengan baik di lini tengah Barcelona. Ia menilai gelandang Timnas Spanyol tersebut punya kemampuan teknik yang luar biasa.
""Pedri tidak menonjol karena kecepatan atau postur fisiknya. Dia tidak terlalu besar atau kuat. Namun, dia luar biasa. Dia memiliki kualitas teknik yang spektakuler,"" ujar Gordon dikutip dari RAC1.
Gordon selalu bermain bersama dengan Pedri di lima laga awal LaLiga di musim ini. Pedri telah bikin satu gol dan satu assist di LaLiga musim ini.
(pur/aff)",sport
9,"Timnas Equestrian Indonesia sudah bertolak ke Jepang jelang bergulirnya Asian Games 2026. Ada 12 atlet yang turun di sana untuk mendapatkan medali.
Timnas Equestrian bertolak ke Aichi-Nagoya, Jepang, Senin (14/9) malam WIB kemarin. Sebelum keberangkatannya, para atlet mengikuti prosesi pelepasan yang dilakukan oleh perwakilan NOC Indonesia, Krisna Bayu di Terminal 3 bandara Soekarno-Hatta, Tangerang, Banten.
Ke-12 atlet yang dibawa terbagi dalam 3 disiplin yakni : Dressage, Jumping dan Eventing. Dalam persiapannya menghadapi Asian Games 2026, seluruh atlet Equestrian Merah Putih telah melalui pemusatan latihan intensif selama kurang lebih 6 bulan di Jerman.
Berbekal latihan tersebut membuat tim Eventing yang di perkuat Steven Menayang, Fergi Tri Nur Fajar, Marcho Alexandro dan Muhamad Zaki, optimistis dapat memberikan hasil terbaik.
Sementara itu menurut tim Dressage atau Tunggang Serasi, proses adaptasi antara atlet dan kuda menjadi bagian penting sekaligus tantangan tersendiri. Tim dressage terdiri dari Dara Ningar Prameswari, Karen Herjawan, Audirania Amanda Putri dan Alfaro Manayang.
 
Di hari yang sama, empat atlet dressage yang baru saja menuntaskan latihan di Jerman, yakni Dirga Wira Ramadhan Sahputra, Marco Hence Wowiling, Arserl Rizki Brayudha dan Brayen Nathan Brata-Coolen, juga berangkat menuju Negeri Sakura.
Hal tersebut diungkapkan oleh Kellin Baquita sebagai Ketua Pembina NEPI sekaligus penanggung jawab program pelatihan para atlet, yang aktif mendampingi para atlet sejak masa persiapan hingga keberangkatan menuju Aichi-Nagoya.
Setibanya di negri Sakura, seluruh atlet Equestrian Indonesia masih memiliki waktu beberapa hari untuk melakukan adaptasi dengan lingkungan dan cuaca setempat, sebelum memasuki masa perlombaan yang dimulai 19 September hingga 4 Oktober.
(mrp/yna)",sport
10,"Yan Diomande akhirnya unjuk kualitas. Winger muda Real Madrid itu mulai menari-nari, mengacak-acak pertahanan lawan.
Momen itu terlihat saat Madrid mengalahkan Elche dalam lanjutan LaLiga. Bermain di Estadio Martinez Valero, Alicante, Rabu (16/9) dini hari WIB, Diomande membantu Los Blancos menang 3-2.
Diomande mencetak satu assist untuk gol yang dilesakkan Kylian Mbappe. Umpan silangnya bisa diteruskan menjadi skor.
Di laga itu, Diomande bermain menjadi starter. Sofascore mencatat, sempat melepaskan sekali shots, dan bikin 3 umpan kunci, dan sekali peluang bagi rekan-rekannya.
Pemain asal Pantai Gading itu juga bikin 7 dribble sukses dari 9 percobaannya. Yan Diomande juga rajin bergerak di kedua sisi sayap permainan Madrid, tercatat 33 kali membawa bola di sektor tersebut.
Beberapa kali aksinya merepotkan lawan. Tusukan-tusukan mautnya membuka ruang bagi rekan-rekannya di area kotak penalti.
Penampilan ini datang usai Diomande banyak dicadangkan Jose Mourinho. Dari enam pertandingan LaLiga, ia baru jadi starter di dua partai terakhir.
Assist ini juga menjadi kontribusi pertamanya bagi Madrid, sejak dibeli dari RB Leipzig seharga 140 juta Euro. Performa yang membuatnya menuai pujian.
""Assist pertamanya tidak langsung menghilangkan semua keraguan atau secara tiba-tiba mengubah posisinya di tim, tetapi hal itu bisa menjadi titik balik. Setelah beberapa penampilan di mana ia menunjukkan potensi tanpa mampu mengubahnya menjadi gol, sebelum laga melawan Elche ia akhirnya berhasil melakukan aksi yang menentukan,"" tulis media SPORT soal Yan Diomande.
| Baca juga: Jose Mourinho: Real Madrid Butuh Istirahat | 
(yna/cas)",sport
